བཞུགས་སྒར་
རྡ་
སར་
གསུང་ཆོས་
སྩོལ་ VERB ༼བྱེད་འབྲེལ་ལས་ཚིག་ད་ལྟ་བ་དང་སྐུལ་ཚིག༽ བྱིན་པའི་ཞེ་ས་སྟེ། བཀའ་ལུང་སྩོལ་མཁན། བྱ་དགའ་སྩོལ་ཅིག་ལྟ་བུ། ༼བརྩལ༽ ནི་མ་འོངས་པ་དང་འདས་པ་སྟེ། བསྩལ་བྱའི་བྱ་དགའ། བཀའ་ལུང་བསྩལ་ཞེས་པ་ལྟ་བུ། 
སྐབས་ NOUN ༡.་དུས་ཀྱི་མིང་སྟེ། ལས་ཚིག་ད་ལྟ་བའི་མཐའ་ལ་སྦྱར་ན་བྱ་བ་དེ་བྱེད་བཞིན་པའི་དུས་ཀྱི་དོན་ཏེ། དཔེར་ན། སློབ་སྦྱོང་བྱེད་སྐབས། དཔེ་ཆར་ལྟ་སྐབས། ལམ་ལ་འགྲོ་སྐབས་ཞེས་པ་ལྟ་བུ།༢.དུས་མཚམས་ཀྱི་དོན་ཏེ། སྐབས་འགའ། སྐབས་ཤིག་ལ། བར་སྐབས། དེང་སྐབས་ཞེས་པ་ལྟ་བུ།༣.རྩོམ་གཞུང་གི་དུམ་བུ་ངེས་ཅན་ཞིག་གི་མིང་སྟེ། སྐབས་དང་པོ། སྐབས་གཉིས་པ་ཞེས་པ་ལྟ་བུ། 
ཆོས་ NOUN ༡.་ཆོས་ལུགས་སམ་ཆོས་ལུགས་སྟོན་པའི་དཔེ་ཆའི་མིང་། ༼ཆོས་ལུགས༽ ༼༡༽ ཆོས་ཀྱི་གྲུབ་མཐའ་འམ། ལུགས་སྲོལ། ཆོས་ལུགས་བྱེད་སྒོ། ནང་པའི་ཆོས་ལུགས། ཆོས་ལུགས་སྒྲིག་ལམ། ཆོས་ལུགས་གྲུབ་མཐའ། ༼༢༽ ཡུལ་ཆོས་དང་རིགས་ཆོས་སོགས་ཀྱི་ཆོས་ལུགས། ཆོས་ལུགས་ཀྱི་མིང་ལ་བསྟན་པ་ཡང་ཟེར། ༼ཆོས་འབྱུང༽ ཆོས་ལུགས་ཀྱི་ལོ་རྒྱུས་བཤད་པའི་དཔེ་ཆའི་མིང་།༢.ཕྱི་རོལ་ཡུལ་ན་ཡོད་པ་ཐམས་ཅད་ཀྱི་སྤྱི་མིང་ལ་ཆོས་ཟེར། ༼ཆོས་ཉིད༽ བྱ་དངོས་སོ་སོའི་བར་རང་གི་གཤིས་ལ་ཡོད་པའི་འབྲེལ་བའི་མིང་སྟེ། འབྲེལ་བ་དེ་ནི་རྒྱུན་ཆད་མེད་པར་བསྐྱར་ཟློས་སུ་འབྱུང་ཞིང་། ཆ་རྐྱེན་ངེས་ཅན་ཞིག་གི་སྐབས་སུ་ནམ་ཡང་ནུས་པ་ཐོན་པ་ཞིག་ཡིན་པར་མ་ཟད། བྱ་དངོས་རྣམས་ཕྱོགས་གང་ལ་འཕེལ་བའི་རག་ལས་ས་ཞིག་ཀྱང་ཡིན། ཆོས་ཉིད་ནི་ཕྱི་ཡུལ་ན་རང་བཞིན་གྱི་གནས་པ་ཞིག་ཡིན་སྟབས། མིས་བློ་བཟོ་བྱེད་དུ་མེད་པ་ཞིག་ཡིན། ༼ཆོས་སྐུ༽ ཤེར་ཕྱིན་དངོས་པོ་བརྒྱད་ཀྱི་ནང་གསེས། སྦྱོར་བ་བསྒོམས་པའི་འབྲས་བུ་མཐར་ཐུག་ཆོས་ཀྱི་སྐུ་ཟག་མེད་ཀྱི་ཡོན་ཏན་དུ་མ་དང་ལྡན་པ་སྐུ་བཞིའི་དབྱེ་གཞིར་གྱུར་པ་སངས་རྒྱས་ཀྱི་སྐུའོ༎ ༼ཆོས་ཅན༽ རྟགས་ཆོས་གཉིས་དང་ལྡན་པའི་གཞི་སྟེ། བྱས་རྟགས་ཀྱིས་སྒྲ་མི་རྟག་པར་བསྒྲུབ་པ་ན། སྒྲ་ནི་ཆོས་ཅན་ཡིན་ཞིང། སྒྲ་ལ་རྟགས་བྱས་པ་དང་ཆོས་མི་རྟག་པ་གཉིས་དང་ལྡན་པ་ལྟ་བུའོ༎ ༼ཆོས་ཕུང༽ ཆོས་ཀྱི་ཕུང་པོ་སྟེ་ཆགས་སོགས་ཉོན་མོངས་པ་བརྒྱད་ཁྲི་བཞི་སྟོང་རེ་རེའི་གཉེན་པོ་སངས་རྒྱས་ཤཱཀྱ་ཐུབ་པས་གསུངས་པ་རྣམས་ལྷན་ཅིག་ཏུ་སྤུངས་པའི་ཕུང་པོ། ༼ཆོས་དབྱངས༽ ༼༡༽ སྟོང་པ་ཉིད། ༼༢༽ གཟུགས་ཀྱི་ཕུང་པོ་ལ་སོགས་པ་ཕུང་པོ་ལྔའི་རང་བཞིན་སྟོང་པ་ཉིད་གང་ཡིན་པ། ༼ཆོས་ཀྱི་གཟུངས༽ གཟུངས་ཀྱི་སྒོ་བཞིའི་ཡ་གྱལ་ཞིག་མཁན་པོ་དང་སློབ་དཔོན་ལ་སོགས་པ་ལས་དམ་པའི་ཆོས་མཉན་ནས། ཇི་སྐད་བཤད་ཅིང་ཐོས་པའི་ཚིག་ཐམས་ཅད་ནམ་དུ་ཡང་མི་བརྗེད་པར་འཛིན་པའོ༎༣.མི་རྣམས་ཀྱི་གོམས་འདྲིས་དང་ཡུལ་སྲོལ་གྱི་མིང་སྟེ། ཡུལ་ཆོས། གྲོང་པའི་ཆོས། མི་ཆོས་ཞེས་པ་ལྟ་བུ།༤.གཏན་ཚིགས་རིག་པའི་ནང་དུ་རྩོད་པ་བྱེད་མཁན་གཉིས་ཀྱིས་གང་རྩོད་པའི་གཞི་དེ་ལའང་ཆོས་ཟེར་ཏེ། བསྒྲུབ་བྱའི་ཆོས། ཆོས་ཅན། རྟགས་ཆོས་དོན་གསུམ་ཞེས་པ་ལྟ་བུ།༥.དངོས་པོ་རང་རང་གི་རྟགས་དང་ནུས་པ་སོགས་ཀྱི་མིང་སྟེ། ཁྱད་ཆོས་ཞེས་པ་ལྟ་བུ།༦.བཅོ་ལ་ལྟོས།༧.བཅའ་ལ་ལྟོས། 
ཞུ་བ་ VERB རེ་འདུན་དང་བཟོད་གསོལ་བྱེད་པའི་ཚིག་གི་མིང་སྟེ། ཞུ་བ་ཕུལ། ཆུ་རྐ་ཆེན་པོ་ཞིག་གསར་བཟོ་བྱེད་པར་གོང་རིམ་ལ་ཞུ་བ་ཕུལ་ལྟ་བུ། 
ཚོས་ NOUN ༡མདོག་སྒྱུར་བྱེད་ཀྱི་ཚོན་ནམ་ཁ་དོག་གི་མིང་སྟེ། རས་ལ་ཚོན་བརྒྱབ། ཤིང་ལ་ཚོས་བསྐུས། ཕྲུག་རྒྱ་ཚོས། རས་དཀར་ལ་ཚོས་འགོས་ལྟ་བུ། 
དེབ་ NOUN ༡.་མགོ་བཙེམ་བྱས་པའི་དཔེ་ཆའམ་ཤོག་གུ་ལེམ་མོ་མང་བོ་དཔེ་ཆ་ལྟར་མགོ་བཙེམ་བྱས་པའི་སྦྱང་དེབ་སོགས་ཀྱི་སྤྱི་མིང་སྟེ། དཔེ་ཆ་དེབ་དང་པོ། ཐོ་དེབ་ཅེས་པ་ལྟ་བུ།༢.༼དེབ་ཐེར༽ སྔོན་བྱུང་ལོ་རྒྱུས་བྲིས་པའི་དཔེ་ཆའི་མིང་སྟེ། དེབ་ཐེར་དཀར་བོ་ཞེས་པ་ལྟ་བུ།༣.མཚོན་ཆས་བཅད་པའི་རྨ་སྟེང་ལ་བཞག་པའི་རས་དང་ཕྱིང་བ་སོགས་ཀྱི་མིང་སྟེ། ཕྱིང་དེབ་། རས་དེབ་ཅེས་པ་ལྟ་བུ། 
འགོད་ NOPOS བཀོད་ཀྱི་ད་ལྟ་བ། 
ངེས་པར་
